akmanegh-~f(p/v)allugh[N→N][N][Abs][Unpd][Sg]	akmaneghpalluq
alinge-–pigte[V→V][V][Intr][Ind][3Sg]	alingepigtuq
anagh-pagnite[N→V][V][Intr][Ind][3Sg]	anaghpagnituq
angqagh-–perug[N→N][N][Abs][Unpd][Sg]	angqaperuk
angyagh-–penaagh[N→N][N][Abs][Unpd][Sg]	angyapenaaq
angyagh-–pig[N→N][N][Abs][Unpd][Sg]	angyapik
aqfaate-–pag[V→V][V][Intr][Ind][3Sg]	aqfaatepagtuq
aqfaate-pag[V→V][V][Intr][Ind][3Sg]	aqfaatepagtuq
ategh-–pig[N→N][N][Abs][Unpd][Sg]	atepik
atkug-–peragh[N→N][N][Abs][Unpd][Sg]	atkuperaq
atkug-–pig[N→N][N][Abs][Unpd][Sg]	atkupik
ggute-–pig[N→N][N][Abs][Unpd][Sg]	ggutepik
igatagh-–pigte[V→V][V][Intr][Ind][1Sg]	igatapigtunga
ipa-–pestaagh[N→N][N][Abs][Unpd][Sg]	ipapestaaq
itegh-–pigesnagh[V→V][V][Intr][Ind][3Sg]	itepigesnaghtuq
kaate-–pigesnagh[V→V][V][Intr][Ind][3Sg]	kaatepigesnaghtuq
kaviigh-–pagite[N→V][V][Intr][Sbrd][3Sg]	kaviipagilluni
kaviigh-–pig[N→N][N][Abs][Unpd][Sg]	kaviipik
ketngig-~f(p/v)agaatagh[V→V][V][Trns][Ind][3Sg][3Sg]	ketngigpagaataghaa
megh-~f(p/v)allugh[N→N][N][Abs][Unpd][Sg]	meghpalluq
nasagh-–peragh[N→N][N][Abs][Unpd][Sg]	nasaperaq
natete-–pigte[V→V][V][Intr][Ind][3Sg]	natetepigtuq
neghe-–pag[V→V][V][Intr][Ind][3Sg]	neghepagtuq
neghe-pag[V→V][V][Intr][Ind][3Sg]	neghepagtuq
neghe-–panghite[V→V][V][Intr][Ind][3Sg]	neghepanghituq
neqe-–pig[N→N][N][Abs][Unpd][Sg]	neqepik
nuna-–pig[N→N][N][Abs][Unpd][Sg]	nunapik
peghqinegh-–pigu[N→V][V][Intr][Ind][3Sg]	peghqinepiguuq
qateg-–perewaagh[N→N][N][Abl_Mod][Unpd][Sg]	qateperewaaghmeng
qavagh-–pagunghite**[V→V][V][Intr][Ptcp][3Sg]	qavapagunghilnguq
qavagh-pag[V→V][V][Intr][Ind][3Sg]	qavaghpagtuq
qavagh-–panghite[V→V][V][Intr][Ind][3Sg]	qavapanghituq
qaya-–pig[N→N][N][Abs][Unpd][Sg]	qayapik
qepghagh-–pagigate[V→V][V][Intr][Ind][3Sg]	qepghapagigatuq
qepghagh-pag[V→V][V][Intr][Ind][3Sg]	qepghaghpagtuq
qepghagh-–panghite[V→V][V][Intr][Ind][3Sg]	qepghapanghituq
qikmigh-–pestaagh[N→N][N][Abs][Unpd][Sg]	qikmipestaaq
qute-–pig[N→N][N][Abs][Unpd][Sg]	qutepik
sa-pagnite[N→V][V][Intr][Ind][3Sg]	sapagnituq
savikenghaagh-–perewaagh[N→N][N][Abs][Unpd][Sg]	savikenghaaperewaaq
seghlegh-–pestaagh[N→N][N][Abs][Unpd][Pl]	seghlepestaaghet
seghlegh-–pigu[N→V][V][Intr][Ind][3Sg]	seghlepiguuq
sighunegh-~f(p/v)allugh[N→N][N][Abs][Unpd][Sg]	sighuneghpalluq
sigute-~f(p/v)allugh[N→N][N][Abs][Unpd][Sg]	sigutfalluq
siinge-~f(p/v)agaatagh[V→V][V][Trns][Ind][3Sg][3Sg]	siingvagaataghaa
siku-–perewaagh[N→N][N][Abs][Unpd][Sg]	sikuperewaaq
suna-~f(p/v)allugh[N→N][N][Abs][Unpd][Sg]	sunavalluq
taghnughhagh*-–pagite[N→V][V][Intr][Ind][1Pl]	taghnughhapagitukut
tagi-–pigesnagh[V→V][V][Intr][Ind][3Sg]	tagipigesnaghtuq
tengegkayug-–pagite[N→V][V][Intr][Ind][3Sg]	tengegkayupagituq
tenglug-pag[V→V][V][Trns][Ind][3Sg][3Sg]	tenglugpagaa
tume-~f(p/v)allugh[N→N][N][Abs][Unpd][Sg]	tuumvalluq
tupag-pag[V→V][V][Intr][Ind][3Sg]	tupagpagtuq
uglagh-–pestaagh[N→N]-–ghllag[N→N][N][Abs][Unpd][Sg]	uglapestaaghllak
unaghsigh-–perewaagh[N→N][N][Abs][Unpd][Sg]	unaghsiperewaaq
uqug-pagnite[N→V][V][Intr][Ind][3Sg]	uqugpagnituq
yu(u)g-–penaagh[N→N][N][Abs][Unpd][Sg]	yupenaaq
